Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/27,UTTAR PRADESH,LALITPUR,0.04,479.48,0.24,18.64746135
2020/01/27,UTTAR PRADESH,MAHAMAYA NAGAR,0,226.22,0,25.01636641
2020/01/27,UTTAR PRADESH,MATHURA,0,261.88,0,15.26924846
2020/01/27,UTTAR PRADESH,MAHOBA,0,304.21,0,20.78789925
2020/01/27,UTTAR PRADESH,CHITRAKOOT,0.01,250.79,0.06,15.97047973
2020/01/27,UTTAR PRADESH,SAHARANPUR,0.2,495.63,1.79,25.84115596
2020/01/27,UTTAR PRADESH,KANNAUJ,0.65,252.07,4.97,23.78874272
2020/01/27,UTTAR PRADESH,SANT KABIR NAGAR,0,182.2,0,22.32059665
2020/01/27,UTTAR PRADESH,SONBHADRA,0.39,901.25,2.25,26.09370543
2020/01/27,UTTAR PRADESH,FATEHPUR,0.03,304.03,0.24,14.28288771
2020/01/27,UTTAR PRADESH,BARA BANKI,0,479.67,0.02,24.76564699
2020/01/27,UTTAR PRADESH,AZAMGARH,0,301.62,0,13.84948681
2020/01/27,UTTAR PRADESH,BAGHPAT,0,143.11,0.03,20.98078725
2020/01/27,UTTAR PRADESH,ALIGARH,0,396.25,0.02,20.68404493
2020/01/27,UTTAR PRADESH,HARDOI,0.08,674.68,0.71,21.96572746
